city,hex,auc_flood
phoenix,8848eba61dfffff,0.0
phoenix,8848eba603fffff,0.0
phoenix,8829b6d289fffff,0.0
phoenix,8829b6d2b9fffff,0.0
phoenix,8829b6d2bdfffff,5.21540641784668e-08
phoenix,8829b6d2c7fffff,0.0
phoenix,8829b6d281fffff,0.0
phoenix,8829b6d28dfffff,0.0
phoenix,8829b6d2c1fffff,0.0
phoenix,8829b6d2cdfffff,0.0
phoenix,8848e9698dfffff,0.0
phoenix,8848e969e3fffff,0.0
phoenix,8848e969ebfffff,0.0
phoenix,8848e96985fffff,0.0
phoenix,8848e969abfffff,0.0
phoenix,8829b6d35dfffff,0.0
phoenix,8829b6c029fffff,0.0
phoenix,8829b6c00bfffff,0.0
phoenix,8829b6c2abfffff,0.0
phoenix,8829b6c005fffff,0.0
phoenix,8829b6c001fffff,2.086162567138672e-07
phoenix,8829b6c2a5fffff,0.0
phoenix,8829b6c053fffff,0.0
phoenix,8829b6c2a1fffff,0.0
phoenix,8829b6c019fffff,0.0
phoenix,8829b6c287fffff,0.0
phoenix,8848eba6a9fffff,0.0
phoenix,8829b6d0ebfffff,0.0
phoenix,8829b6dae3fffff,0.0
phoenix,8829b6c241fffff,0.0
phoenix,8848e96d35fffff,0.0
phoenix,8829b6d2ddfffff,0.0
phoenix,8848e96917fffff,0.0
phoenix,8848e969cdfffff,0.0
phoenix,8848e96913fffff,0.0
phoenix,8848e969e7fffff,0.0
phoenix,8848e96b07fffff,0.0
phoenix,8848eba657fffff,0.0
phoenix,8848eba655fffff,0.0
phoenix,8848e96d89fffff,0.0
phoenix,8848e96dc3fffff,0.0
phoenix,8848e96dd5fffff,0.0
phoenix,8829b6d2e9fffff,0.0
phoenix,8829b6d213fffff,0.0
phoenix,8829b6d22bfffff,0.0
phoenix,8829b6d205fffff,0.0
phoenix,8829b6d26bfffff,0.0
phoenix,8829b6d261fffff,0.0
phoenix,8848e9699bfffff,0.0
phoenix,8848e96991fffff,0.0
phoenix,8848eba617fffff,0.0
phoenix,8848eba6e9fffff,0.0
phoenix,8848eba6e1fffff,0.0
phoenix,8848e969e1fffff,1.475139697881291e-07
phoenix,8848e969e9fffff,0.0
phoenix,8829b6d341fffff,0.0
phoenix,8829b6d34bfffff,0.7139916347103027
phoenix,8848e96b39fffff,0.0
phoenix,8848e96b3dfffff,0.0
phoenix,8829b6d349fffff,1.9469640610253591
phoenix,8848e969a1fffff,1.10676233700704
phoenix,8848e969a9fffff,0.0
phoenix,8848e96b31fffff,0.0
phoenix,8829b6d309fffff,0.0
phoenix,8829b6c369fffff,0.0
phoenix,8829b6c36dfffff,0.0
phoenix,8848e96dabfffff,0.0
phoenix,8848eba659fffff,0.0
phoenix,8848eba65bfffff,0.0
phoenix,8848eba651fffff,0.0
phoenix,8848eba619fffff,0.0
phoenix,8829b6d207fffff,1.475139697881291e-07
phoenix,8829b6d239fffff,0.0
phoenix,8829b6d203fffff,0.0
phoenix,8829b6d215fffff,0.0
phoenix,8829b6d211fffff,4.172325134277344e-07
phoenix,8829b6d21bfffff,0.0
phoenix,8829b6d221fffff,0.0
phoenix,8829b6d319fffff,0.0
phoenix,8829b6d353fffff,0.0
phoenix,8829b6d225fffff,0.0
phoenix,8829b6d147fffff,0.0
phoenix,8829b6d161fffff,0.0
phoenix,8829b6d165fffff,0.0
phoenix,8848eba4b3fffff,0.0
phoenix,8829b6da59fffff,0.0
phoenix,8848eba4b7fffff,0.0
phoenix,8848e96939fffff,0.0
phoenix,8848e96b23fffff,0.0
phoenix,8848e96b21fffff,0.0
phoenix,8848eba699fffff,1.7552650198963897
phoenix,8848eba6d1fffff,0.0
phoenix,8848eba6d9fffff,0.0
phoenix,8848eba6d7fffff,0.0
phoenix,8848eba6d3fffff,0.0
phoenix,8829b6c007fffff,0.0
phoenix,8829b6c2edfffff,0.0
phoenix,8829b6c233fffff,0.0
phoenix,8829b6c2ebfffff,0.0
phoenix,8829b6c2e9fffff,0.0
phoenix,8829b6c011fffff,0.0
phoenix,8829b6c01bfffff,0.0
phoenix,8829b6c253fffff,0.0
phoenix,8829b6c257fffff,1.475139697881291e-07
phoenix,8829b6c20bfffff,0.0
phoenix,8829b6c35bfffff,0.0
phoenix,8829b6c22dfffff,0.0
phoenix,8829b6c229fffff,0.0
phoenix,8829b6c219fffff,0.0
phoenix,8829b6c351fffff,0.0
phoenix,8829b6d521fffff,0.0
phoenix,8829b6d52dfffff,0.0
phoenix,8829b6d189fffff,0.0
phoenix,8829b6d1c3fffff,2.950279395762582e-07
phoenix,8829b6d081fffff,0.0
phoenix,8829b6d08dfffff,0.0
phoenix,8829b6d085fffff,0.0
phoenix,8829b6d1dbfffff,0.0
phoenix,8829b6d1d1fffff,0.0
